date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:59	118/118	---MCZ	200	added ('OK')	text/plain	etag:W/%22643410c1-10e%22	https://shuvechhyabajracharya.com/robots.txt		(from )
16:04:00	177560/177560	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Apr%202025%2021:52:53%20GMT	https://shuvechhyabajracharya.com/dataops/	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/index.html	(from )
16:04:01	393609/393609	---MCZ	200	added ('OK')	text/css	etag:W/%2260189-633148a587a64%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_3861d21fd7987a6987056c1bb4a6aa76.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_3861d21fd7987a6987056c1bb4a6aa76.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	3412/3412	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Dec%202023%2002:54:39%20GMT	https://bslthemes.com/bslthms-advanced-btns/assets/style.css	C:/My%20Web%20Sites/Portfolio/bslthemes.com/bslthms-advanced-btns/assets/style.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	6652/6652	---MC-	200	added ('OK')	application/rss+xml	etag:%22a4e6b62fb6a98ceacc770038c51002e1%22	https://shuvechhyabajracharya.com/dataops/comments/feed/	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/comments/feed/index.html	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	21791/21791	---MC-	200	added ('OK')	application/rss+xml	etag:%22a4e6b62fb6a98ceacc770038c51002e1%22	https://shuvechhyabajracharya.com/dataops/feed/	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/feed/index.html	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	20269/20269	---MCZ	200	added ('OK')	text/css	etag:W/%224f2d-632a1ea0a426e%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_688a4cc8fb687c0cfd7b05065f0ae6ef.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_688a4cc8fb687c0cfd7b05065f0ae6ef.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	1151/1151	---MCZ	200	added ('OK')	text/css	etag:W/%2247f-62c63e59fdfbb%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_dbaa29f13718f1c1243a9c2e8bc31bad.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_dbaa29f13718f1c1243a9c2e8bc31bad.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:02	1300/1300	---MCZ	200	added ('OK')	text/css	etag:W/%22514-62c63e59fdfbb%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_71c7d1816cd930c37d8cf71521ec0864.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_71c7d1816cd930c37d8cf71521ec0864.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:03	98478/98478	---MCZ	200	added ('OK')	text/css	etag:W/%22180ae-632502c506051%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_2e01d7c33896561776099676549c6975.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_2e01d7c33896561776099676549c6975.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:03	23004/23004	---MCZ	200	added ('OK')	text/css	etag:W/%2259dc-632502c5050b1%22	https://shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_291992b53cb1d70971080ccb6a012c11.css	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/cache/autoptimize/20/css/autoptimize_single_291992b53cb1d70971080ccb6a012c11.css	(from https://shuvechhyabajracharya.com/dataops/)
16:04:03	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215601-60a6d39574e80%22	https://shuvechhyabajracharya.com/dataops/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-includes/js/jquery/jquery.min.js	(from https://shuvechhyabajracharya.com/dataops/)
16:04:04	108/108	---MC-	401	error ('Unauthorized')	application/json	date:Mon,%2026%20May%202025%2010:19:04%20GMT	https://shuvechhyabajracharya.com/dataops/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshuvechhyabajracharya.com%2Fdataops%2F	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-json/oembed/1.0/embed5ca2	(from https://shuvechhyabajracharya.com/dataops/)
16:04:04	167/167	---MC-	401	error ('Unauthorized')	text/xml	date:Mon,%2026%20May%202025%2010:19:05%20GMT	https://shuvechhyabajracharya.com/dataops/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fshuvechhyabajracharya.com%2Fdataops%2F&format=xml	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-json/oembed/1.0/embeda927	(from https://shuvechhyabajracharya.com/dataops/)
16:04:05	1513/1513	---M--	200	added ('OK')	image/png	etag:%225e9-61b5b59b3a588%22	https://shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-32x32.png	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-32x32.png	(from https://shuvechhyabajracharya.com/dataops/)
16:04:05	16316/16316	---M--	200	added ('OK')	image/png	etag:%223fbc-61b5b59b24dc8%22	https://shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-192x192.png	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-192x192.png	(from https://shuvechhyabajracharya.com/dataops/)
16:04:05	14999/14999	---M--	200	added ('OK')	image/png	etag:%223a97-61b5b59b32888%22	https://shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-180x180.png	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/cropped-logo4n-180x180.png	(from https://shuvechhyabajracharya.com/dataops/)
16:04:07	1220175/1220175	---M--	200	added ('OK')	video/mp4	etag:%22129e4f-61b56e35488da%22	https://shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/r-video-01-1.mp4	C:/My%20Web%20Sites/Portfolio/shuvechhyabajracharya.com/dataops/wp-content/uploads/sites/20/2024/06/r-video-01-1.mp4	(from https://shuvechhyabajracharya.com/dataops/)
